trip_id,trip_start_timestamp,trip_end_timestamp,fare,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
1,1/13/2016 6:15,1/13/2016 6:15,4.5,199,510,199,510
2,1/23/2016 17:30,1/23/2016 17:30,7,686,500,686,500
3,1/8/2016 18:15,1/8/2016 18:45,17.75,599,346,660,120
4,1/26/2016 4:15,1/26/2016 4:15,3.75,527,24,527,24
5,1/22/2016 11:30,1/22/2016 11:45,5,210,470,744,605
6,1/25/2016 9:00,1/25/2016 9:00,7,161,649,419,615
7,1/6/2016 23:15,1/6/2016 23:30,7.25,419,615,411,545
8,1/13/2016 18:30,1/13/2016 19:00,17.25,385,478,558,388
9,1/22/2016 9:45,1/22/2016 9:45,6.25,419,615,681,196
10,1/3/2016 7:45,1/3/2016 8:00,9,583,195,278,173
11,1/3/2016 16:30,1/3/2016 16:30,10.75,642,32,411,545
12,1/25/2016 10:30,1/25/2016 10:30,10,618,407,395,408
13,1/11/2016 14:00,1/11/2016 14:00,6.75,158,270,158,270
14,1/1/2016 19:30,1/1/2016 19:45,11.85,210,470,606,617
15,1/20/2016 7:30,1/20/2016 7:45,10.25,167,754,681,196
16,1/8/2016 19:30,1/8/2016 19:30,12.25,18,610,472,207
17,1/2/2016 13:30,1/2/2016 13:30,3.25,660,120,660,120
18,1/15/2016 19:30,1/15/2016 19:30,6.5,754,410,474,204
